city,region,city_type,metro_area,metro_area_population,city_population,population_2013,population_2018,population_trend,percent_hispanic_or_latino_of_any_race,white_alone_percent,percent_black_or_african_american,percent_american_indian_and_alaska_native_alone,percent_asian_alone,percent_native_hawaiian_and_other_pacific_islander_alone,percent_some_other_race_alone,percent_two_or_more_races,share_below_100_percent_of_the_fpl,share_between_100_percent_and_149_percent_of_the_fpl,percent_at_or_above_150_percent_of_the_fpl,total_unemployment_percent,percent_homeowner,percent_renter,renter_housing_cost_burden_35_percent_or_more,owner_housing_cost_burden_30_34_9_percent,owner_housing_cost_burden_35_percent_or_more,asthma,housing_with_potential_lead_risk,cardiovascular_disease_deaths,physical_inactivity,park_access,walkability_score,uninsured,limited_access_to_healthy_foods,obesity,air_pollution,life_expectancy,opioid_overdose_deaths,low_birthweight,premature_mortality_rate,drinking_water_violations,average_travel_time_to_work_all
"Jackson, MI",Midwest,Center City,"Jackson, MI Metro Area",158913,32800,33506,32800,losing population,6.43,67.6,20.77,0.17,0.75,0.05,0.18,4.04,29.98,12.75,57.27,9.11,55.4,44.6,45.1,7,18.1,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,3.0,NA
"Kalamazoo, MI*",Midwest,Center City,"Kalamazoo-Portage, MI Metro Area",336845,76040,74812,76040,plateau,6.83,64.21,20.77,0.15,2.13,0.02,0.18,5.72,30.41,12.48,57.11,8.93,44.8,55.2,42.6,5.2,16.6,11.5,32,199.6,26.8,60.6,47.6,7.4,65.2,32.5,8.7,76.9,28.1,NA,9800.0,4.0,21.4
"Lansing, MI*",Midwest,Center City,"Lansing-East Lansing, MI Metro Area",476615,116699,114274,116699,plateau,12.53,54.93,21.39,0.4,3.54,0.01,0.17,7.03,26.1,11.4,62.5,9.04,50.6,49.4,42.8,7.6,19,11.4,31.2,230.6,28,77.6,43.3,7.9,75.4,35.1,8.5,77.5,35.8,10.0,10600.0,5.0,20.8
"Lawrence, KS",Midwest,Center City,"Lawrence, KS Metro Area",119319,95294,88921,95294,growing,6.75,75.96,4.5,2.38,6.3,0.01,0.15,3.94,21.84,8.07,70.08,3.53,45.8,54.2,45.3,6,14.7,9.5,12.6,169.8,22.3,66.5,39.1,8.2,67,26.9,7.3,80.3,7,NA,6200.0,7.0,NA
"Pontiac, MI",Midwest,Suburban City,"Detroit-Warren-Dearborn, MI Metro Area",4317179,60116,59751,60116,plateau,19.6,24.99,48.35,0.21,1.88,0.04,0.05,4.88,31.93,13.74,54.33,13.3,41,59,43.1,6.1,29.5,NA,32,NA,NA,40.8,40.8,13,59.6,NA,9.1,72.9,NA,NA,NA,9.0,NA
"Rockford, IL",Midwest,Center City,"Rockford, IL Metro Area",339780,147881,152138,147881,losing population,17.97,53.91,21.5,0.11,3.24,0,0.19,3.09,22.64,11.7,65.66,11.86,54.9,45.1,42.8,6.7,20.3,10.4,28.6,257.2,30.3,63,41.7,7.7,65.6,35.2,8.8,76.5,40.7,10.1,11800.0,35.0,22.5
"Saginaw, MI",Midwest,Center City,"Saginaw, MI Metro Area",192778,48997,51165,48997,losing population,14.36,37.09,43.51,0.24,0.54,0,0.1,4.15,34.47,16.75,48.78,14.92,57.8,42.2,55.4,5.9,25.8,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,1.0,NA
"South Bend, IN*",Midwest,Center City,"South Bend-Mishawaka, IN-MI Metro Area",320700,102233,100863,102233,plateau,15.27,52.85,26.02,0.31,1.46,0.09,0.21,3.77,23.77,13.34,62.89,7.45,56.9,43.1,42.8,6.4,17.2,10.3,34,237.1,34.3,65.7,42.6,12.6,71.8,37.9,9.1,76.4,22.5,9.6,11300.0,119.0,20.3
"Stevens Point, WI",Midwest,Small Rural,"Stevens Point, WI Micro Area",70599,26402,26694,26402,losing population,4.09,87.12,1.34,0.45,4.66,0.02,0.49,1.82,21.64,10.85,67.51,3.51,50.2,49.8,39.8,6.7,13.3,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,4.0,NA
"Topeka, KS",Midwest,Center City,"Topeka, KS Metro Area",233260,126877,127625,126877,losing population,14.95,68.33,10.19,0.82,1.61,0.03,0.14,3.93,15.93,10.33,73.74,4.81,56.6,43.4,38.6,6.3,15.5,9.9,25.4,211.6,30.3,70.1,35.8,9.6,75.9,37.5,7.4,77.8,9.2,7.4,10500.0,3.0,NA
